項番	大項目	中項目	小項目	メトリクス	本案件具体要件	規定・ルール説明	前提条件
101	個人情報保護	個人情報の見直し	定期見直し	年1回の頻度で定期的に見直す。環境変化（内容変化、委託会社変更、機能追加、法令変更、社会情勢変化）時に見直す。	ー	ー
102	個人情報保護	リスク調査の見直し	定期見直し	年1回以上の頻度で見直す。個人情報の増加、内容変化、技術陳腐化、体制変更、インシデント発生などの際に見直す。	ー	ー
103	運用・保守性	運用方針	運用方針	運用責任者を配置。運用担当者を限定。自己承認は禁止。	ー	ー
104	運用・保守性	委託先選定	委託先選定条件	プライバシーマークまたはISMS認証取得。教育実施。管理ルール・対策の有無を確認。	ISMS: 情報セキュリティマネジメントシステム認証	ー
105	運用・保守性	データセンタ選定	安全対策条件	地震・洪水・津波・火災・防犯・電源・空調・通信・入退室・BCPなど、詳細な安全対策条件を満たすこと。	BCP: 事業継続計画	ー
106	運用・保守性	教育計画	教育頻度	年1回以上教育を実施。必要に応じて随時実施。	ー	ー
107	運用・保守性	教育内容	教育項目	個人情報の定義、手順、ルール、責任、緊急時対応などを教育。	ー	ー
108	運用・保守性	実施記録	記録保管	教育内容・結果を記録し、2年間保管。理解度に応じて改善。	ー	ー
109	運用・保守性	誓約書の取得	誓約書取得	指定手順に準じて取得。	ー	ー
110	セキュリティ	緊急時の対応	インシデント対応	セキュリティインシデント発生時は指定手順に準じて対応。	ー	ー
111	運用・保守性	定期検査計画	検査頻度	3か月に1回以上実施。担当者を指名し、計画を策定・承認。	ー	ー
112	運用・保守性	定期検査内容	検査項目	個人情報の取扱状況、ルール遵守、技術対策、ログ確認などを検査。	ー	ー
113	運用・保守性	定期検査記録	記録保管	実施内容・結果を記録し、2年間保管。改善に活用。	ー	ー
114	運用・保守性	自主点検	点検頻度	年1回以上、チェックシートで点検。内部監査等で代替可能。	ー	ー
115	運用・保守性	マネジメント見直し計画	見直し頻度	年1回以上、必要に応じて見直し。様々な要因を考慮。	ー	ー
116	運用・保守性	見直しの実施	見直し実施	再特定・再調査・ルール変更を計画し、反映。	ー	ー
117	運用・保守性	見直し記録	記録管理	文書の変更有無を明示し、最新版を利用可能にする。	ー	ー
118	法的・規制要件	法令・ガイドライン	法令準拠	個人情報保護実施計画書を参照	ー	ー
119	法的・規制要件	委託元との契約	契約団体	指定フォルダに契約書保管	ー	ー
120	法的・規制要件	委託元との契約	個人	指定フォルダに契約書保管	ー	ー
121	セキュリティ	緊急時対応	対応手順	指定手順書に準拠	ー	ー
122	運用・保守性	運用ルール	取得（郵送・FAX）	FAX取得禁止、二人体制で受取・運搬、暗号化推奨	ー	ー
123	運用・保守性	運用ルール	取得（Web・メール）	メール取得禁止、暗号化通信必須	ー	ー
124	運用・保守性	運用ルール	保管（紙）	紙保管禁止	ー	ー
125	運用・保守性	運用ルール	保管（可搬媒体）	鍵付きキャビネット、3ヶ月保管期限	ー	ー
126	運用・保守性	運用ルール	保管（サーバ）	暗号化・パスワード設定	ー	ー
127	運用・保守性	運用ルール	保管（PC）	ローカル保管禁止、定期チェック	ー	ー
128	運用・保守性	運用ルール	利用（紙）	印刷制限、複写禁止、持出禁止	ー	ー
129	運用・保守性	運用ルール	利用（可搬媒体）	書出し禁止	ー	ー
130	運用・保守性	運用ルール	利用（サーバ）	アカウント管理、特権管理、ウィルス・脆弱性対策、監視、バックアップ、ログ取得、二人体制操作	ー	ー
131	運用・保守性	運用ルール	利用（ネットワーク）	IDS/IPS導入、VPN接続、フィルタリング、無線LAN禁止、監視	IDS: 侵入検知システム、IPS: 侵入防止システム、VPN: 仮想プライベートネットワーク	ー
132	運用・保守性	運用ルール	利用（PC）	アカウント管理、認証、ウィルス・脆弱性対策、ログ取得、USB制限	ー	ー
133	運用・保守性	運用ルール	廃棄（紙）	シュレッダー裁断	ー	ー
134	運用・保守性	運用ルール	廃棄（可搬媒体）	粉砕、記録、定期チェック	ー	ー
135	運用・保守性	運用ルール	廃棄（電子データ）	指定手順書に準拠	ー	ー
136	運用・保守性	運用ルール	廃棄（サーバ・PC）	指定手順書に準拠	ー	ー
137	運用・保守性	運用ルール	物理環境	区画分離、入退室管理、個人情報持込禁止、監視カメラ設置	ー	ー
138	運用・保守性	運用ルール	ルール逸脱	運用責任者の承認が必要	ー	ー
139	運用・保守性	見直し	実施計画	リスク調査・PMS見直し時に実施	PMS: 個人情報保護マネジメントシステム	ー
140	運用・保守性	見直し	実施記録	版数・履歴を明示	ー	ー
