分類	画面名	タスク	概要	対象プラットフォーム	優先度	工数(人月)	画面ID	実装区分	ナビゲーションバー	元々存在	更新理由	削除フラグ
ユーザ認証	ログイン認証画面	画面	ID/パスワード認証、パスワードロック機能	HDB（個人）	A	0.5	2	Webビュー		○	WebView実装に変更	
ユーザ認証	ログイン認証画面	ログインフォーム	ログイン入力フォームの実装	HDB（個人）	A		2	Webビュー		○	WebView実装に変更	
ユーザ認証	ログイン認証画面	パスワードロック機能	パスワードロック機能の実装	HDB（個人）	A		2	Webビュー		○	WebView実装に変更	
ユーザ認証	ログイン認証API	画面	スマートフォン向け認証API	HDBアプリ（iOS、Android）	A	0.5		API		○		削除
ユーザ認証	ログイン認証API	API認証処理	認証API処理の実装	HDBアプリ（iOS、Android）	A			API		○		削除
ユーザ認証	ログイン認証API	トークン管理	認証トークン管理機能の実装	HDBアプリ（iOS、Android）	A			API		○		削除
ユーザ認証	転籍データ移行画面	画面	転籍用ログイン画面、データ移行処理	HDBアプリ（iOS、Android）	A	1.5	22,23	アプリ		○		
ユーザ認証	転籍データ移行画面	転籍ログインフォーム	転籍用ログインフォームの実装	HDBアプリ（iOS、Android）	A		22,23	アプリ		○		
ユーザ認証	転籍データ移行画面	データ移行処理	転籍時のデータ移行処理の実装	HDBアプリ（iOS、Android）	A		22,23	アプリ		○		
ユーザ認証	転籍データ移行画面	進捗表示	データ移行進捗表示の実装	HDBアプリ（iOS、Android）	A		22,23	アプリ		○		
トップメニュー	トップメニュー画面	画面	各機能へのリンク、お知らせ、歩数ランキング、最終アップロード日時表示	HDBアプリ（iOS、Android）、HDB（個人）	A	1.5	3	Webビュー	✔	○	WebView実装に変更	
トップメニュー	トップメニュー画面	リンクボタン	各機能へのリンクボタンの実装	HDBアプリ（iOS、Android）、HDB（個人）	A		3	Webビュー	✔	○	WebView実装に変更	
トップメニュー	トップメニュー画面	お知らせ表示	お知らせ表示機能の実装	HDBアプリ（iOS、Android）、HDB（個人）	A		3	Webビュー	✔	○	WebView実装に変更	
トップメニュー	トップメニュー画面	歩数ランキング	歩数ランキング表示の実装	HDBアプリ（iOS、Android）、HDB（個人）	A		3	Webビュー	✔	○	WebView実装に変更	
トップメニュー	トップメニュー画面	最終アップロード日時表示	最終アップロード日時表示の実装	HDBアプリ（iOS、Android）、HDB（個人）	A		3	Webビュー	✔	○	WebView実装に変更	
バイタル管理	歩数データダッシュボード	画面	歩数データのリアルタイム表示、達成率表示	HDBアプリ（iOS、Android）	A	1		アプリ		○		削除
バイタル管理	歩数データダッシュボード	歩数表示	歩数データ表示の実装	HDBアプリ（iOS、Android）	A			アプリ		○		削除
バイタル管理	歩数データダッシュボード	達成率表示	達成率表示の実装	HDBアプリ（iOS、Android）	A			アプリ		○		削除
バイタル管理	歩数データダッシュボード	グラフ表示	歩数データグラフ表示の実装	HDBアプリ（iOS、Android）	A			アプリ		○		削除
バイタル管理	バイタルデータ表示画面	画面	登録されている歩数、バイタルデータの一覧表示	HDB（個人）	A	1		Webビュー		○	WebView実装に変更	削除
バイタル管理	バイタルデータ表示画面	データ一覧表示	バイタルデータ一覧表示の実装	HDB（個人）	A			Webビュー		○	WebView実装に変更	削除
バイタル管理	バイタルデータ表示画面	フィルタ機能	データフィルタ機能の実装	HDB（個人）	A			Webビュー		○	WebView実装に変更	削除
バイタル管理	バイタル一覧表示画面	画面	全てのバイタルデータの一覧表示、編集・削除機能	HDBアプリ（iOS、Android）	A	1.5	9	アプリ	✔	○		
バイタル管理	バイタル一覧表示画面	データ一覧表示	全バイタルデータ一覧表示の実装	HDBアプリ（iOS、Android）	A		9	アプリ	✔	○		
バイタル管理	バイタル一覧表示画面	編集ボタン	データ編集ボタンの実装	HDBアプリ（iOS、Android）	A		9	アプリ	✔	○		
バイタル管理	バイタル一覧表示画面	削除ボタン	データ削除ボタンの実装	HDBアプリ（iOS、Android）	A		9	アプリ	✔	○		
バイタル管理	バイタル一覧表示画面	詳細表示	データ詳細表示の実装	HDBアプリ（iOS、Android）	A		9	アプリ	✔	○		
バイタル管理	バイタルデータ表示画面	画面	歩数、血圧、脈拍、体重、体脂肪率、体温の表示	HDBアプリ（iOS、Android）	A	1	4	アプリ	✔	○		
バイタル管理	バイタルデータ表示画面	バイタルデータ表示	各種バイタルデータ表示の実装	HDBアプリ（iOS、Android）	A		4	アプリ	✔	○		
