項番	大項目	中項目	小項目	小項目説明	重複項目	"メトリクス
(指標)"	レベル						運用コストへの影響	備考
							0	1	2	3	4	5		
A.1.1.1	可用性	継続性	運用スケジュール	"システムの稼働時間や停止運用に関する情報。
"	○	運用時間（通常）	規定無し	"定時内
（9時～17時）"	"夜間のみ停止
（9時～21時）"	"1時間程度の停止有り
（9時～翌朝8時）"	"若干の停止有り
（9時～翌朝8時55分）"	24時間無停止		"【重複項目】
C.1.1.1。運用時間は、システムの可用性の実現レベルを表す項目であると共に、運用・保守性に関する開発コストや運用コストを検討する上でも必要となる項目であるため、可用性と運用・保守性の両方に含まれている。

【メトリクス】
運用時間は、オンライン/バッチを含みシステムが稼動している時間帯を指す。

【レベル】
（）内の時間は各レベルの一例を示したもので、レベル選定の条件とはしていない。規定無しは、固定のサービス時間が存在しないことを示し、基本的にシステムは停止していて、必要に応じてユーザがシステムを起動するようなケースを想定している（例：障害発生に備えた予備システム、開発・検証用システム等）。定時内や夜間のみ停止は、一般的な業務形態を想定したもので、業務が稼動する時間帯が異なるシステムにおいては、時間帯をスライドさせるなどの読替えが必要である。停止有りとは、システムを停止しなければならない時間帯ではなく、システムを停止できる可能性のある時間帯を指す。24時間無停止は、オンライン業務が稼動していない時間にバッチを稼動させる必要があり、システムを停止することができないようなケースも含まれる。
"
A.1.1.2					○	運用時間（特定日）	規定無し	"定時内
（9時～17時）"	"夜間のみ停止
（9時～21時）"	"1時間程度の停止有り
（9時～翌朝8時）"	"若干の停止有り
（9時～翌朝8時55分）"	24時間無停止		"【重複項目】
C.1.1.2。運用時間は、システムの可用性の実現レベルを表す項目であると共に、運用・保守性に関する開発コストや運用コストを検討する上でも必要となる項目であるため、可用性と運用・保守性の両方に含まれている。

【メトリクス】
特定日とは、休日/祝祭日や月末月初など通常の運用スケジュールとは異なるスケジュールを定義している日のことを指す。特定日が複数存在する場合は、それぞれにおいてレベル値を整合する必要がある（例：「月～金はレベル2だが、土日はレベル0」、「通常はレベル5だが、毎月1日にリブートをするためその日はレベル3」など）。
また、ユーザの休日だけでなく、ベンダの休日についても特定日として認識し、運用保守体制等を整合すること。
"
A.1.1.3					○	計画停止の有無	計画停止有り（運用スケジュールの変更可）	計画停止有り（運用スケジュールの変更不可）	計画停止無し				○	"【重複項目】
C.2.1.1。計画停止の有無は、システムの可用性の実現レベルを表す項目であると共に、運用・保守性に関する開発コストや運用コストを検討する上でも必要となる項目であるため、可用性と運用・保守性の両方に含まれている。

【運用コストへの影響】
計画停止が”有り”の場合、事前のバックアップや、システム構成に応じた手順準備など、運用時のコストがかさむ。
"
A.1.2.1			業務継続性	"可用性を保証するにあたり、要求される業務の範囲とその条件。
"		対象業務範囲	内部向けバッチ系業務	内部向けオンライン系業務	内部向け全業務	外部向けバッチ系業務	外部向けオンライン系業務	全ての業務		"【メトリクス】
ここでの対象業務範囲とは、稼働率を算出する際の対象範囲を指す。

【レベル】
内部向けとは対象とするシステム内に閉じた処理（業務）、外部向けとは他システムとの連携が必要な処理（業務）を表している。
"
A.1.2.2						サービス切替時間	24時間以上	24時間未満	2時間未満	60分未満	10分未満	60秒未満	○	"【メトリクス】
サービス切替時間とは、想定できる障害（例えばハードウェアの故障等により業務が一時的中断するケースなど）に対して、対策を施すこと（例えばクラスタ構成でのサーバの切替えなど）により、業務再開までに要する時間を指す。

【運用コストへの影響】
中断を許容する時間が長くなれば、復旧対策としてはシステムでの自動化から人員による手動での対処に比重が移るため、運用コストへの影響が出てくる。
"
A.1.2.3						業務継続の要求度	障害時の業務停止を許容する	"単一障害時は業務停止を許容せず、処理を継続させる

"	二重障害時でもサービス切替時間の規定内で継続する					"【メトリクス】
業務継続の要求度とは、発生する障害に対して、どこまで業務を継続させる必要があるかを示す考え方の尺度を示している。
システムを構成する機器や部位には、単一障害点SPOF（Single Point Of Failure）が多数存在し、システム停止となるリスクを多く含んでいる。これらのSPOFを許容するか、冗長化などの対策で継続性をどこまで確保するかが要求の分かれ目となる。
"
A.1.3.1			"目標復旧水準
（業務停止時）"	"業務停止を伴う障害が発生した際、何をどこまで、どれ位で復旧させるかの目標。
"		RPO（目標復旧地点）	復旧不要	"5営業日前の時点
（週次バックアップからの復旧）
"	"1営業日前の時点
（日次バックアップからの復旧）"	"障害発生時点
（日次バックアップ+アーカイブからの復旧）"				"【メトリクス】
RLOで業務の復旧までを指定している場合、該当する業務のデータの復旧までが対象であり、業務再開の整合性の確認は別途必要となる。

【レベル3】
障害発生時点とは、障害が発生する直前のトランザクションなどの処理が完了している時点のことを指し、障害発生時点まで復旧するためには、発生直前の完了した処理のジャーナルログが保証されていることが前提となる。またジャーナルログをアーカイブすることで、障害発生までの任意の時点への復旧に対応することを想定している。
"
A.1.3.2						RTO（目標復旧時間）	1営業日以上	1営業日以内	12時間以内	6時間以内	2時間以内			"【メトリクス】
サービス切替時間（A.1.2.2）での復旧時間と異なり、RTOでの復旧時間は、業務の継続対策を実施していない（業務停止となる）ケースでの障害での復旧時間を指している。
RLOで業務の復旧までを指定している場合、該当する業務のデータの復旧までが対象であり、業務再開の整合性の確認は別途必要となる。
"
A.1.3.3						RLO（目標復旧レベル）	システムの復旧	特定業務のみ	全ての業務					"【メトリクス】
業務停止を伴う障害が発生した際、何を復旧の対象とするかのレベルを示す。

【レベル0】
システムの復旧は、ハードウェアの復旧だけでなくデータのリストアまでを対象とする。

【レベル1】
特定業務とは、例えばA.1.2.1対象業務範囲で定義する継続性が要求される業務などを指す。
"
A.1.4.1			"目標復旧水準
（大規模災害時）"	"大規模災害が発生した際、どれ位で復旧させるかの目標。
大規模災害とは、火災や地震などの異常な自然現象、あるいは人為的な原因による大きな事故、破壊行為により生ずる被害のことを指し、システムに甚大な被害が発生するか、電力などのライフラインの停止により、システムをそのまま現状に修復するのが困難な状態となる災害をいう。
"		システム再開目標	再開不要	数ヶ月以内に再開	一ヶ月以内に再開	一週間以内に再開	3日以内に再開	1日以内に再開		"【メトリクス】
大規模災害としては、RPO、RTO、RLOなどの細かな要求までは確定せず、システム再開目標として大まかな復旧時間を設定する。目標復旧レベルについては、業務停止時の目標復旧水準を参考とする。
"
A.1.5.1			稼働率	"明示された利用条件の下で、システムが要求されたサービスを提供できる割合。
明示された利用条件とは、運用スケジュールや、目標復旧水準により定義された業務が稼働している条件を指す。その稼働時間の中で、サービス中断が発生した時間により稼働率を求める。
"		稼働率	95%以下	95%	99%	99.9%	99.99%	99.999%		"【レベル】
24時間365日の稼働の場合、1年間で業務が中断する時間の合計は、それぞれ以下の通りとなる。
95%・・・・・・・・・18.3日
99%・・・・・・・・・87.6時間
99.9%・・・・・・・ 8.76時間
99.99%・・・・・・ 52.6分
99.999%・・・・・ 5.26分

また1日8時間で週5日稼働のシステムではサービス切替時間と稼働率の関係は以下の通りとなる。
週に1時間・・・・97.5%
月に1時間・・・・99.4%
年に1時間・・・・99.95%
"
A.4.2.1		回復性	可用性確認	"可用性として要求された項目をどこまで確認するかの範囲。
"		確認範囲	実施しない。または単純な障害の範囲	業務を継続できる障害の範囲	業務停止となる障害のうち一部の範囲	業務停止となる障害の全ての範囲				"【レベル】
レベル2および3の確認範囲には、レベル1で定義した内容を含む。
"
